Wavelngth,NDFilter510-5A,Min%,Max%,NDFilter513-5B,Min%,Max%,NDFilter520-5C,Min%,Max%,NDFilter510-4A,Min%,Max%,NDFilter513-4B,Min%,Max%,NDFilter520-4C,Min%,Max%,NDFilter510-A2,Min%,Max%,NDFilter513-B2,Min%,Max%,NDFilter520-C2,Min%,Max%
,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,8.38,-10,10,4.04,-10,10,0.29,-10,10,8.38,-10,10,4.03,-10,10,0.29,-10,10,7.79,-10,10,4.05,-10,10,0.29,-10,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,10.31,-10,10,5.3,-10,10,0.63,-10,10,10.31,-10,10,5.29,-10,10,0.63,-10,10,9.67,-10,10,5.32,-10,10,0.63,-10,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,9.75,-5,5,4.92,-5,5,0.67,-5,5,9.75,-5,5,4.92,-5,5,0.68,-5,5,9.15,-5,5,4.94,-5,5,0.68,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,10.66,-5,5,5.54,-5,5,0.82,-5,5,10.66,-5,5,5.54,-5,5,0.83,-5,5,10.04,-5,5,5.57,-5,5,0.82,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,9.11,-5,5,4.51,-5,5,0.75,-5,5,9.12,-5,5,4.5,-5,5,0.76,-5,5,8.55,-5,5,4.52,-5,5,0.76,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,9.71,-5,5,4.9,-5,5,1.05,-5,5,9.73,-5,5,4.9,-5,5,1.06,-5,5,9.14,-5,5,4.92,-5,5,1.05,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,15.61,-5,5,9.15,-5,5,2.75,-5,5,15.63,-5,5,9.15,-5,5,2.78,-5,5,14.88,-5,5,9.19,-5,5,2.76,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,16.9,-5,5,10.17,-5,5,4.11,-5,5,16.94,-5,5,10.16,-5,5,4.15,-5,5,16.13,-5,5,10.2,-5,5,4.13,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,15.17,-5,5,8.81,-5,5,4.55,-5,5,15.2,-5,5,8.8,-5,5,4.6,-5,5,14.42,-5,5,8.85,-5,5,4.57,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,13.23,-5,5,7.38,-5,5,4.55,-5,5,13.27,-5,5,7.36,-5,5,4.59,-5,5,12.53,-5,5,7.41,-5,5,4.57,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,11.54,-5,5,6.12,-5,5,4.25,-5,5,11.51,-5,5,6.15,-5,5,4.29,-5,5,10.86,-5,5,6.16,-5,5,4.32,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,10.18,-5,5,5.21,-5,5,4.02,-5,5,10.2,-5,5,5.22,-5,5,4.11,-5,5,9.51,-5,5,5.23,-5,5,4.05,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,9.18,-5,5,4.57,-5,5,3.86,-5,5,9.22,-5,5,4.56,-5,5,3.88,-5,5,8.53,-5,5,4.54,-5,5,3.83,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,8.61,-5,5,4.19,-5,5,3.83,-5,5,8.64,-5,5,4.19,-5,5,3.85,-5,5,8.03,-5,5,4.19,-5,5,3.84,-5,5
